cnpj,uf,municipio,razao_social,nome_fantasia,porte,cnae_fiscal_descricao,data_inicio_atividade
28011495000173,TO,PEIXE,N C MELO FEITOSA COMERCIO DE COMBUSTIVEIS LTDA.,POSTO GOIANO COMERCIO DE COMBUSTIVEIS,MICRO EMPRESA,Comércio varejista de combustíveis para veículos automotores,2017-06-21
8839364000171,TO,ARAGUAINA,NEVES & NEVES LTDA,HOTEL RELICARIO,EMPRESA DE PEQUENO PORTE,Hotéis,2007-05-18
14836742000166,TO,FORTALEZA DO TABOCAO,TABOCAO LANCHONETE I LTDA,LANCHONETE TABOCAO,MICRO EMPRESA,"Lanchonetes, casas de chá, de sucos e similares",2012-01-04
2772168000140,TO,ARAGUAINA,REDE DE POSTOS TOCA DA ONCA ARAGUAINA RODOVIA LTDA,REDE DE POSTOS TOCA DA ONCA ARAGUAINA RODOVIA,DEMAIS,Comércio varejista de combustíveis para veículos automotores,1979-11-16
19049563000100,TO,PALMAS,EXATA SOLUCOES EM IMPRESSOES EIRELI,EXATA COPIADORA,MICRO EMPRESA,Fotocópias,2013-10-10
2503452000111,TO,ARRAIAS,MATSUSE COMERCIO DE DERIVADOS DE PETROLEO LTDA,AUTO POSTO JAPAO,DEMAIS,Comércio varejista de combustíveis para veículos automotores,1998-04-30
33210337000182,TO,PORTO NACIONAL,BATISTA PEREIRA & RODRIGUES LTDA,POSTO TREVO,DEMAIS,Comércio varejista de combustíveis para veículos automotores,1989-09-26
19290275000135,TO,ARRAIAS,MATSUSE EMPREEDIMENTOS HOTELEIROS  LTDA,HOTEL JAPAO,MICRO EMPRESA,Hotéis,2013-11-20
18475438000191,TO,PALMAS,LEMES E ANTUNYS LTDA,GRAFICA E EDITORA WR,MICRO EMPRESA,Impressão de material para uso publicitário,2013-07-12
663872000130,DF,BRASILIA,AP ASSESSORIA PATRIMONIAL E IMOBILIARIA LTDA,CORRETA,EMPRESA DE PEQUENO PORTE,Corretagem no aluguel de imóveis,1985-11-07
